date,slug,title,core_claim,category,source_shorts,publication_url,status
2026-09-03,simulation-assumption-range-check,"가상 성공을 다음 실험의 근거로 쓰려면 무엇을 기록해야 할까","시뮬레이션의 성공은 물리 가정과 현실적인 변형 범위를 함께 기록하고 같은 평가 조건에서 비교할 때 다음 검증의 근거가 된다.",시뮬레이션·검증,aTo5sKSVnk8;dCgGMgTdkOo;qUgBs5janKs,https://alpenj.github.io/physical-ai-lab/articles/2026-09-03-simulation-assumption-range-check.html,published
2026-08-04,physical-ai-first-steps,"Physical AI 교육을 따라가며, 지금 확인한 것과 다음 단계","교육이 진행 중인 현재 상태와 11월까지의 다음 실습을 완료한 결과와 구분해 기록한다.",진행 기록,ope9oxZ4eQA;REMw3MI8_O4;kqI3V3L8xC0,https://alpenj.github.io/physical-ai-lab/articles/2026-08-04-physical-ai-first-steps.html,published
2026-08-06,robot-model-fk-ik-check,"로봇 모델이 먼저 있어야 하는 이유: 관절각에서 손끝까지","정기구학과 역기구학은 로봇 모델의 관절·좌표·제약을 기준으로 손끝 목표와 관절 명령을 서로 검증하는 고리다.",로봇 모델링,1Mv-_YQaEX0;7NG3f8A-CEQ;UTdN92YN2kY,https://alpenj.github.io/physical-ai-lab/articles/2026-08-06-robot-model-fk-ik-check.html,published
2026-08-11,pose-tracking-slam-state,"로봇이 본 장면을 시간과 지도 속 상태로 바꾸는 법","포즈 추정·추적·SLAM은 한 번의 인식을 시간과 좌표 속 상태로 이어 주며, timestamp와 frame 계약이 있어야 관측을 행동과 평가로 연결할 수 있다.",로봇 인지·위치,ZD4YGHvGegg;kd6lM1VAPFo;7IvJcTHMtxc,https://alpenj.github.io/physical-ai-lab/articles/2026-08-11-pose-tracking-slam-state.html,published
2026-08-13,ros2-communication-contract,"로봇 프로그램은 어떤 통신을 골라야 할까","ROS 2의 노드·토픽·서비스·액션은 데이터 흐름의 지속성·응답 방식·작업 시간을 구분하는 통신 계약이며, 메시지 타입과 실행 결과까지 함께 확인해야 한다.",ROS 2 통신,3eqAOc7c4MA;D491wKZHdic;X8Z63H2bp38,https://alpenj.github.io/physical-ai-lab/articles/2026-08-13-ros2-communication-contract.html,published
2026-08-18,feedback-pid-tuning-check,"로봇은 왜 움직인 뒤 다시 봐야 할까","피드백 루프는 목표와 실제 상태의 오차를 P·I·D로 나누어 보정하고, 같은 조건의 응답 비교로 튜닝해야 로봇 움직임을 판단할 수 있다.",제어·튜닝,bMf9Syd4jPk;5e-MwNlGI2k;jdSwEeOg_o4,https://alpenj.github.io/physical-ai-lab/articles/2026-08-18-feedback-pid-tuning-check.html,published
2026-08-20,global-path-trajectory-safety-check,"로봇은 길을 찾은 뒤 어떻게 안전한 궤적으로 바꿀까","글로벌 경로는 전체 방향만 정하고, 궤적 생성과 충돌·costmap 검사가 속도와 안전 여유를 붙여 실행 가능한 선택으로 바꾼다.",경로 계획·안전,g5ZdFZYf9KA;4zZFXaFZt10;YqlTFBo1Lyc,https://alpenj.github.io/physical-ai-lab/articles/2026-08-20-global-path-trajectory-safety-check.html,published
2026-08-25,local-planning-stop-safety,"로봇은 눈앞 장애물 앞에서 언제 멈춰야 할까","글로벌 경로를 기준으로 로컬 플래너가 눈앞 장애물을 우회하고, 안전 여유가 부족하면 정지하는 판단을 분리해 검증한다.",로컬 계획·안전,g5ZdFZYf9KA;jKmdvshgsNY;aFg_9s4fm8E,https://alpenj.github.io/physical-ai-lab/articles/2026-08-25-local-planning-stop-safety.html,published
2026-08-27,manipulation-reachability-collision,"로봇 팔은 닿는 곳을 어떻게 집는 경로로 바꿀까","로봇 팔의 집기 계획은 작업공간에서 닿을 수 있는 목표를 고른 뒤, 접근 자세와 관절 경로의 충돌을 검사해 실행 가능한 grasp로 좁히는 과정이다.",조작 계획·접촉,alaNlryILuU;-APM_dJxGaw;YqlTFBo1Lyc,https://alpenj.github.io/physical-ai-lab/articles/2026-08-27-manipulation-reachability-collision.html,published
2026-09-01,robot-episode-data-contract,"로봇의 한 번의 시도를 학습 데이터로 믿으려면 무엇을 남겨야 할까","관측·행동·timestamp·좌표·종료 상태를 같은 episode 계약으로 묶고 품질 검사를 거쳐야 로봇 경험을 다시 학습과 평가에 쓸 수 있다.",로봇 학습·데이터,dGdGgtfb9EI;4hZ3KOPEFrE;7IY696zYqm4,https://alpenj.github.io/physical-ai-lab/articles/2026-09-01-robot-episode-data-contract.html,published

